filter,filter_label,d_p_mm,porosity,thickness_mm,U_mps,Cp_holes,top,Darcy_d_1pm2,Forch_f_1pm,Q_filter_Lpm,Q_top_Lpm,Q_holes_Lpm,V_face_mps,dp_filter_Pa,q_Pa,residence_ms,Re_particle
F0,empty housing (no media),0.0,1,18.0,1,0.1,"open, Cp=-0.6",0,0,-1.335335029889256,-11.431619098920379,10.096284069031121,-0.02451270711541394,0.0,0.6,inf,0
F0,empty housing (no media),0.0,1,18.0,1,0.1,capped,0,0,2.3415772643608235,0.0,2.3415772643615775,0.04298426715739594,0.0,0.6,418.7578663162782,0
F0,empty housing (no media),0.0,1,18.0,1,0.3,"open, Cp=-0.6",0,0,1.096598794778544,-12.301398973807512,13.39799776861956,0.02013023284632297,0.0,0.6,894.177436367206,0
F0,empty housing (no media),0.0,1,18.0,1,0.3,capped,0,0,5.325660850088256,0.0,5.325660850088352,0.09776300455853877,0.0,0.6,184.11872754199075,0
F0,empty housing (no media),0.0,1,18.0,1,0.6,"open, Cp=-0.6",0,0,3.794275141117293,-13.472367881813271,17.26664302293056,0.06965140071044011,0.0,0.6,258.4298350988075,0
F0,empty housing (no media),0.0,1,18.0,1,0.6,capped,0,0,8.481669002848463,0.0,8.481669002848509,0.1556977563405582,0.0,0.6,115.60860235280809,0
F0,empty housing (no media),0.0,1,18.0,2,0.1,"open, Cp=-0.6",0,0,-3.5621894954433477,-23.067833808201073,19.505644312757727,-0.06539101112224144,0.0,2.4,inf,0
F0,empty housing (no media),0.0,1,18.0,2,0.1,capped,0,0,6.4890105767576465,0.0,6.489010576785282,0.11911858236061938,0.0,2.4,151.1099246086293,0
F0,empty housing (no media),0.0,1,18.0,2,0.3,"open, Cp=-0.6",0,0,2.863510431821112,-24.418164868930372,27.281675300751193,0.05256537944862026,0.0,2.4,342.4307060808721,0
F0,empty housing (no media),0.0,1,18.0,2,0.3,capped,0,0,13.080620566204978,0.0,13.08062056620498,0.24012057921811175,0.0,2.4,74.96233791627593,0
F0,empty housing (no media),0.0,1,18.0,2,0.6,"open, Cp=-0.6",0,0,9.1622599029299,-26.45432117642513,35.616581079355115,0.1681913441111837,0.0,2.4,107.02096528880234,0
F0,empty housing (no media),0.0,1,18.0,2,0.6,capped,0,0,19.6875177364218,0.0,19.687517736422873,0.3614032024176345,0.0,2.4,49.80586746212433,0
F0,empty housing (no media),0.0,1,18.0,4,0.1,"open, Cp=-0.6",0,0,-8.485189338259374,-46.438716400785324,37.953527062527286,-0.15576237903744264,0.0,9.6,inf,0
F0,empty housing (no media),0.0,1,18.0,4,0.1,capped,0,0,15.539308334309734,0.0,15.539308334310046,0.2852546405576102,0.0,9.6,63.10151507023322,0
F0,empty housing (no media),0.0,1,18.0,4,0.3,"open, Cp=-0.6",0,0,6.713878153370126,-48.56014494001595,55.27402309338607,0.12324647006061609,0.0,9.6,146.04880765467027,0
F0,empty housing (no media),0.0,1,18.0,4,0.3,capped,0,0,29.106657679408528,0.0,29.10665767940854,0.5343100861085978,0.0,9.6,33.688302856295934,0
F0,empty housing (no media),0.0,1,18.0,4,0.6,"open, Cp=-0.6",0,0,20.316930738230297,-52.270497955438366,72.58742869367042,0.3729573189671305,0.0,9.6,48.26289520165275,0
F0,empty housing (no media),0.0,1,18.0,4,0.6,capped,0,0,41.01847704754337,0.0,41.018477047543364,0.7529750150193748,0.0,9.6,23.90517565783619,0
F0,empty housing (no media),0.0,1,18.0,6,0.1,"open, Cp=-0.6",0,0,-13.56787366455665,-69.84166378620166,56.273790121645014,-0.24906507046834359,0.0,21.599999999999998,inf,0
F0,empty housing (no media),0.0,1,18.0,6,0.1,capped,0,0,24.7917453778779,0.0,24.791745377877998,0.45510136387138583,0.0,21.599999999999998,39.551628338092385,0
F0,empty housing (no media),0.0,1,18.0,6,0.3,"open, Cp=-0.6",0,0,10.667727126325337,-72.67159282928989,83.33931995561522,0.19582716305769055,0.0,21.599999999999998,91.91778974348523,0
F0,empty housing (no media),0.0,1,18.0,6,0.3,capped,0,0,43.64232397738883,0.0,43.642323977388834,0.8011408983874715,0.0,21.599999999999998,22.467957928786586,0
F0,empty housing (no media),0.0,1,18.0,6,0.6,"open, Cp=-0.6",0,0,31.584895014426714,-78.04524983629514,109.63014485072225,0.5798030182911847,0.0,21.599999999999998,31.045026383357254,0
F0,empty housing (no media),0.0,1,18.0,6,0.6,capped,0,0,62.70806524432558,0.0,62.708065244328964,1.151130167861995,0.0,21.599999999999998,15.636806768283703,0
F1,coarse granules d_p=4 mm,4.0,0.45,9.0,1,0.1,"open, Cp=-0.6",31121399.176954735,5281.207133058984,-0.36435071499181654,-11.196941729587957,10.83259101459733,-0.006688375698963545,-0.035183655209312145,0.6,inf,1.7737128925428185
F1,coarse granules d_p=4 mm,4.0,0.45,9.0,1,0.1,capped,31121399.176954735,5281.207133058984,0.5062240479354804,0.0,0.5062240479715595,0.009292740431478694,0.04957389982318551,0.6,435.82407470253094,2.4643731530993223
F1,coarse granules d_p=4 mm,4.0,0.45,9.0,1,0.3,"open, Cp=-0.6",31121399.176954735,5281.207133058984,0.3144038323306328,-12.510222850007919,12.824626682338554,0.005771502196361668,0.030209604369249566,0.6,701.7237215214271,1.530564118372155
F1,coarse granules d_p=4 mm,4.0,0.45,9.0,1,0.3,capped,31121399.176954735,5281.207133058984,1.3905453161359942,0.0,1.390545316136154,0.0255262007677423,0.1479918593177238,0.6,158.66050873963286,6.769379209125029
F1,coarse granules d_p=4 mm,4.0,0.45,9.0,1,0.6,"open, Cp=-0.6",31121399.176954735,5281.207133058984,1.207050924470637,-14.220562563562247,15.427613488032886,0.022157799445575995,0.12633454459584934,0.6,182.77988344228916,5.8761015104289935
F1,coarse granules d_p=4 mm,4.0,0.45,9.0,1,0.6,capped,31121399.176954735,5281.207133058984,2.5122441974871266,0.0,2.512244197488286,0.04611719518846688,0.2944522965470637,0.6,87.81973802719111,12.229974414621053
F1,coarse granules d_p=4 mm,4.0,0.45,9.0,2,0.1,"open, Cp=-0.6",31121399.176954735,5281.207133058984,-1.2307458959182465,-22.518329312412263,21.287583416494822,-0.022592767361643857,-0.12909480566500667,2.4,inf,5.991452118005001
F1,coarse granules d_p=4 mm,4.0,0.45,9.0,2,0.1,capped,31121399.176954735,5281.207133058984,1.7865614557235308,0.0,1.7865614557235332,0.03279585776422747,0.19693798467363222,2.4,123.49120517340432,8.697244047971926
F1,coarse granules d_p=4 mm,4.0,0.45,9.0,2,0.3,"open, Cp=-0.6",31121399.176954735,5281.207133058984,1.0570869710614137,-24.907950120580992,25.9650370916424,0.019404915423582848,0.10911530189346408,2.4,208.7100052535155,5.146054918961197
F1,coarse granules d_p=4 mm,4.0,0.45,9.0,2,0.3,capped,31121399.176954735,5281.207133058984,4.340560906980176,0.0,4.340560907031364,0.07967955295701677,0.5850087704058808,2.4,50.82859842580664,21.1304891819713
F1,coarse granules d_p=4 mm,4.0,0.45,9.0,2,0.6,"open, Cp=-0.6",31121399.176954735,5281.207133058984,3.638893535487236,-28.10290237952259,31.741795915009835,0.06679906500091543,0.4659025233927362,2.4,60.629591146889524,17.714669171513485
F1,coarse granules d_p=4 mm,4.0,0.45,9.0,2,0.6,capped,31121399.176954735,5281.207133058984,7.170425110558868,0.0,7.170425110541132,0.13162728955198313,1.1614122337475785,2.4,30.76869556294059,34.90668452207287
F1,coarse granules d_p=4 mm,4.0,0.45,9.0,4,0.1,"open, Cp=-0.6",31121399.176954735,5281.207133058984,-3.62373995929377,-45.319347363984214,41.69560740469185,-0.06652089123428223,-0.463434631504706,9.6,inf,17.640899332848328
F1,coarse granules d_p=4 mm,4.0,0.45,9.0,4,0.1,capped,31121399.176954735,5281.207133058984,5.373959018323384,0.0,5.373959018323424,0.09864961265737436,0.7776565471182859,9.6,41.054393331135394,26.161223246154524
F1,coarse granules d_p=4 mm,4.0,0.45,9.0,4,0.3,"open, Cp=-0.6",31121399.176954735,5281.207133058984,3.106562832800967,-49.55175690985517,52.65831974265613,0.05702708545165341,0.38185358764125815,9.6,71.01888458657984,15.123204981653942
F1,coarse granules d_p=4 mm,4.0,0.45,9.0,4,0.3,capped,31121399.176954735,5281.207133058984,11.3876367397329,0.0,11.387636739732926,0.20904252332910794,2.3060022165736647,9.6,19.374048569170046,55.43669126959769
